gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76913.68325865114	3.071415562986136	0.1547885493230426	19.842653583994213	1.2754555269730061e-87	2.920793156768184e-85
ENSG00000154734	22859.404825324516	3.4415773905938365	0.17903987716749514	19.22240701368543	2.403571269562614e-82	2.752089103649193e-80
ENSG00000154723	7342.058299837643	2.581785896651106	0.16350702111073961	15.790061363190762	3.642254449425483e-56	2.7802542297281187e-54
ENSG00000180509	30220.820961552083	2.943108588880442	0.1996058683984123	14.7445995074955	3.3329106424711334e-49	1.9080913428147237e-47
ENSG00000183145	9989.96725283963	2.8901722873281304	0.24839653982055226	11.635316214211604	2.72578088269463e-31	1.2484076442741405e-29
ENSG00000276289	11794.809086198564	2.8595994351541014	0.4653459222637703	6.145104745396706	7.991076351546655e-10	3.04992747417364e-8
ENSG00000277277	724.4836906836587	0.9279100723760716	0.26416509183578546	3.512614274382983	4.4372114495772866e-4	0.014516020313617123
ENSG00000141959	16442.94588639037	2.611917950059856	0.8279035283240543	3.154857855657683	0.0016057631819293714	0.045964971082728255
ENSG00000185437	2256.783449301565	0.5162313135670349	0.19103726578482336	2.7022545127320705	0.006887102108628272	0.17523848698620825
ENSG00000160188	1876.22559383568	-0.5380378988774732	0.21903441964017545	-2.4564079917729327	0.014033373272595889	0.3102480263090734
ENSG00000154719	1373.4317699084572	-0.589230752473187	0.242010326617712	-2.4347339252343416	0.014902743621833222	0.3102480263090734
ENSG00000157557	3474.284792213458	-0.4913694644788286	0.20995823446569503	-2.34032004379001	0.019267221207893922	0.3583940558335131
ENSG00000160207	885.2886897177544	0.6325553071149377	0.27429525481355804	2.306111009995027	0.021104430266948252	0.3583940558335131
ENSG00000177692	2181.322286959994	0.4591170593938088	0.20032028985682898	2.2919149114747417	0.021910553631743157	0.3583940558335131
ENSG00000205929	1354.5813706377203	0.47261488046508354	0.2370809842833556	1.9934744319275366	0.04620952056894116	0.6654285469611257
ENSG00000186930	103.43201792033703	-1.1262447834973808	0.5656987441607685	-1.9908914331570589	0.04649282424182538	0.6654285469611257
ENSG00000183036	968.7322770135228	-0.5303114974892754	0.28157296565720197	-1.883389253124881	0.05964763569638352	0.7602080371510148
ENSG00000184012	5523.254225093682	-0.39306640186601777	0.20878891564437563	-1.8826018644376548	0.05975434353152082	0.7602080371510148
ENSG00000166265	1222.433847994371	0.5304598592343038	0.3012539158715124	1.7608397145634114	0.07826553585791772	0.8713052566896975
